Designator,Mid X,Mid Y,Rotation,Layer
C10,207.145,-57.775,270.0,top
C11,160.803008,-79.849024,225.0,top
C12,159.583008,-78.624024,225.0,top
C13,221.725,-66.525,90.0,top
C14,162.9,-81.575,90.0,top
C15,169.125,-81.531016,270.0,top
C23,191.625,-55.425,180.0,top
C24,193.725,-58.725,0.0,top
C25,200.0,-49.025,180.0,top
C26,206.955,-66.455,90.0,top
C27,209.965,-66.455,90.0,top
C28,212.975,-66.455,90.0,top
C29,215.985,-66.455,90.0,top
C4,173.611016,-69.481016,0.0,top
C5,201.025,-80.925,0.0,top
C6,159.423008,-67.623008,135.0,top
C7,160.593008,-66.448008,135.0,top
C8,171.275,-81.525,270.0,top
C9,213.775,-56.625,180.0,top
D1,145.35,-94.825,270.0,top
D10,90.915,-57.9875,180.0,top
D11,84.605,-57.845,270.0,top
D12,104.005,-57.845,270.0,top
D13,141.825,-57.825,270.0,top
D14,122.705,-57.845,270.0,top
D15,210.51,-83.9225,90.0,top
D16,183.75,-53.5275,270.0,top
D17,176.855,-53.5,270.0,top
D2,74.1525,-57.965,180.0,top
D3,110.375,-57.9875,180.0,top
D4,187.645,-66.505,90.0,top
D5,148.275,-57.9875,180.0,top
D6,129.175,-57.9875,180.0,top
D7,186.15,-88.4075,90.0,top
D8,186.175,-79.4625,270.0,top
D9,67.7925,-57.825,270.0,top
J1,229.075,-90.825,270.0,top
J10,121.665,-87.445,180.0,top
J16,83.665,-87.445,180.0,top
J2,229.25,-53.725,0.0,top
J3,64.665,-87.445,180.0,top
J4,185.625,-36.675,90.0,top
J5,168.825,-36.875,0.0,top
J6,208.25,-38.425,0.0,top
J7,159.175,-36.825,0.0,top
J8,102.665,-87.445,180.0,top
J9,140.675,-87.425,180.0,top
L2,197.235,-65.525,270.0,top
Q1,72.125,-50.075,0.0,top
Q2,108.225,-50.075,0.0,top
Q3,146.315,-50.075,0.0,top
Q4,126.825,-50.065,0.0,top
Q5,88.875,-50.075,0.0,top
Q6,167.8,-51.0,270.0,top
Q7,159.675,-50.9875,270.0,top
R1,149.375,-95.525,270.0,top
R10,205.23,-86.2725,180.0,top
R11,112.375,-49.0125,180.0,top
R12,92.925,-48.975,180.0,top
R13,150.265,-49.025,180.0,top
R14,131.105,-48.985,180.0,top
R15,214.605,-83.9025,90.0,top
R16,218.995,-66.525,90.0,top
R17,188.45,-79.475,90.0,top
R18,76.175,-51.125,180.0,top
R19,154.825,-74.011016,180.0,top
R2,112.375,-51.025,180.0,top
R20,190.04,-66.5175,90.0,top
R21,188.475,-88.6625,270.0,top
R22,150.275,-51.025,180.0,top
R23,131.105,-51.025,180.0,top
R24,67.825,-53.825,270.0,top
R25,84.65,-53.825,270.0,top
R26,104.025,-53.825,270.0,top
R27,141.825,-53.825,270.0,top
R28,122.725,-53.825,270.0,top
R29,181.35,-53.5175,270.0,top
R3,92.925,-51.125,180.0,top
R30,174.475,-53.5,270.0,top
R31,168.76,-54.99,90.0,top
R32,166.84,-54.98,90.0,top
R33,160.585,-54.9775,90.0,top
R34,158.735,-54.9775,90.0,top
R35,67.825,-50.075,90.0,top
R36,84.625,-50.075,90.0,top
R37,141.815,-50.125,90.0,top
R38,103.975,-50.0625,90.0,top
R39,122.785,-50.075,90.0,top
R4,205.23,-81.6325,0.0,top
R5,201.91,-83.9225,90.0,top
R6,191.625,-53.425,0.0,top
R7,196.215,-50.565,180.0,top
R8,196.225,-48.775,0.0,top
R9,76.175,-48.975,180.0,top
SW1,231.02875,-71.04625,270.0,top
U1,166.201016,-73.261016,0.0,top
U10,121.685,-71.675,90.0,top
U11,73.225,-41.175,0.0,top
U12,147.325,-41.125,0.0,top
U13,128.325,-41.125,0.0,top
U2,90.125,-41.225,0.0,top
U3,195.335,-83.935,270.0,top
U4,199.9,-56.625,180.0,top
U5,109.525,-41.145,0.0,top
U6,83.505,-71.71,90.0,top
U7,64.675,-71.675,90.0,top
U8,102.755,-71.685,90.0,top
U9,140.665,-71.655,90.0,top
Y1,166.175,-81.751016,0.0,top
